uniprot	pca0	pca1	pca2	pca3	pca4	pca5
TRFM	1.3465345784483143	3.025150498548706	1.7535337500607655	3.368817459765186	2.878101151462387	2.0663880553343676
TMM74	1.1677928431955076	2.119321385526728	2.3694086635460296	1.1488390880566457	2.132130851809913	2.104064881110405
TJAP1	2.0045844285647827	1.8372582612408221	2.9246287156689674	2.258045511948479	1.9431532914994623	2.0827161050042378
TMG3	0.9351868569173925	2.191140897665166	2.1446596358770473	1.5025114533087311	2.03000042021259	2.1358012449785875
TRBR2	0.20234407666181453	2.4890431433458113	1.8038336656490324	2.342144996053018	1.8467839676327475	2.0352319592957198
TPPP	2.8950648372941257	2.4452725473230377	2.3005906615296574	2.789706752606633	2.741354584654337	2.105533165769121
TR49C	2.663306060352866	2.317245024698482	1.4280488244709084	1.5989267556481161	3.214570685026552	2.554218123199006
TOR2X	1.811146860280738	1.4338758661835689	1.2494938923327694	2.743645261330958	2.0659810200006943	2.7474164119614732
TRI31	3.020018285421394	2.3286750827166602	2.084090105161064	2.0082422161333646	3.4613966537765313	2.46518016570728
TRAF2	3.458793998686234	2.867385990201627	2.6915157295600505	2.9345242924863824	3.2244412679057173	2.4269136081515903
TRI67	2.977062349388431	2.363167397302944	1.8245467270999312	2.2632421789402324	3.7947271555848108	1.3534456348914943
TRI68	3.302632929587258	2.671036507251102	2.0661077074493583	2.0540814177887983	3.1073619080263932	2.2426158178352154
TRIM2	3.1905935708485202	2.827199238848017	2.4266602373399215	2.86684958840879	3.512809367795651	2.4231077735202744
TLX1	2.8463405442630023	1.977684258563965	1.8705926772893353	1.6309516047449282	1.5221021664483563	2.221482022975499
TN13B	0.3269941309291362	2.4130352687532866	1.8516265822881492	2.229920408799987	1.8761019312454326	2.0384895935298943
TM41B	1.4501066607002224	2.1525450877327788	3.241347488475446	1.8085699922578338	2.2000936436443537	1.8973021454792398
TM35B	0.9804256169529362	2.1210793526584397	2.060147687796164	1.5391466566354053	2.0535336184549173	2.1829013627162683
TM86B	1.3420913518761526	2.003765480224066	2.671909086784042	1.500988027739535	2.4128778215164557	1.7872931181873826
